,comment
0,反剽窃基金不入个股吗？ 
1,支持 
2,于正老师，我觉得你是个很有趣的人，我其实也一直比较敬佩你，希望你越来越好。 
3,回复@可爱多哎-:你妈挺孤傲的 
4,回复@摩羯不谈恋爱:太笋了你🙉 
5,笑死我了哈哈哈哈哈哈哈哈哈 
6,你们不会以为他俩真在道歉吧，都是权衡利弊，作弊避避风头的话。反正抵制小四小六从我做起，他脑残粉们请无视我。 
7,你这也太假了吧！你肯定不是这么想的，说的比唱的还好听，不亏是大编剧。虽然我很想去相信，但无法相信，你肯定是被形势所逼才道歉的。不然为啥你道完歉《我就是演员》就没有你了。 不过我也是挺崇拜您的…… 
8,风水轮流转 那些狂言不要轻易说出 因为终有一天你会为他买单 
9,哦 
10,爷直接青结 
11,回复@摩羯不谈恋爱:🆘正大光明szd 
12,回复@知你故来风:清截个鸟，脑子是屎做的吧 
13,天网恢恢疏而不漏，正义面前，一切豺狼虎豹，雕虫小技都得伏法，国家万岁，继续加大力度打击此种违法犯罪行为！@于正 
14,迟到的太久了，已经让你逍遥6年了！ 
15,回复@不吃花菜-:哈哈哈哈哈哈2g网了 
16,回复@阿光阿光:坐等 
17,回复@胡团子梦:有，玖月晞 
18,回复@呜哇呜哇吃西瓜:@玖月晞 坐等 
19,@_MikrokoSons 卧槽我错过了什么 
20,回复@摩羯不谈恋爱:建议原地结婚 
21,回复@芒果捞智多星:？？ 
22,回复@阿光阿光:？ 
23,一度觉得你很自大！ 
24,回复@邓海华_音乐人诗人:👍🏻👍🏻👍🏻 
25,回复@阿豪TM:湖南省人民发来贺电欢送离开 
26,这百分百不是真心道歉，汽车都他妈撞墙上了才知道拐了，什么玩意儿 
27,笑死我了牛逼 
28,哈哈哈哈 
29,离郭敬明远点吧。我觉得你好歹有能力原创的，别淌浑水啊。郭敬明没救了 
30,回复@呜哇呜哇吃西瓜:还有这个b，怎么脸皮那么厚还没死 @青浼 
31,回复@小呀小猫饼呀:她超了哪一个小说？ 
32,咦？为啥我这提示有人被拉黑了，要谨慎评论？ 
33,回复@萤火虫瓜甜:有点出息没有？ 
34,你以前可不是这么说的 
35,假惺惺的 
36,于老师你要成立反剽窃基金会嘛 
37,宫锁珠玉剽窃花样男子流星花园剧情，不过换了个时代背景，还挺好看的， 
38,杀无赦 
39,人生在世，孰能无过？知错能改，善莫大焉！ 
40,连于正都道歉了，用户盗版软件的啥会跟微软道歉？于正郭敬明都为以前的事买单了，你们啥会为了盗版的音乐影视资源买单？？ 
41,15年不道歉，赶在民法典到来的最后一天道歉，求生欲挺强嘛 
42,既然决定了放下脸道歉，那就请你光明冷落的做一回“人”事。写的心不甘情不愿的只会让人怀疑“人品” 
43,回复@扒圈老鬼:啊哈 
